population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,12.438395150607708,18.78333816456422,8.207561616437635
1,All Population,2,DALYs (Disability-Adjusted Life Years),160,Afghanistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,18.008027872620197,27.12019497892744,11.882064076947888
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,10329.787373610789,15878.207860351871,7209.955000098521
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,18.08759593660281,27.80295446440005,12.624727697302632
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,37.26378937170159,57.376295270667704,25.65099889518539
1,All Population,2,DALYs (Disability-Adjusted Life Years),37,Kyrgyzstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,782.517324179631,905.3709420932572,679.5434773257521
1,All Population,2,DALYs (Disability-Adjusted Life Years),37,Kyrgyzstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,17.477905704473322,20.221901119014262,15.177934662649044
1,All Population,2,DALYs (Disability-Adjusted Life Years),37,Kyrgyzstan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,26.13193993519701,30.40385932239906,22.63663758973347
1,All Population,2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,75669.97483094825,96298.39179981826,57440.76217326935
1,All Population,2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,132.58643846163304,168.73087148297685,100.64581224045364
1,All Population,2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,204.06866216552163,259.6464519792086,155.4678455485121
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,309.44337236036677,444.4137943073255,206.51828818427921
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,16.436988187440534,23.60633621475079,10.96982183681181
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,70.56506640077855,104.43307522666188,45.36053788340069
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,291.3028867205779,334.40750521397985,257.8792050468143
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,17.114025801660375,19.646419357287645,15.150386659628962
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,60.552724835476646,69.50874984265347,52.585189533559976
1,All Population,2,DALYs (Disability-Adjusted Life Years),14,Maldives,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,21.09273546546033,29.091540383862014,14.99979027416303
1,All Population,2,DALYs (Disability-Adjusted Life Years),14,Maldives,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,9.197174272955008,12.684934451352731,6.540435944648215
1,All Population,2,DALYs (Disability-Adjusted Life Years),14,Maldives,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,21.170838923886503,29.32202703886884,14.990733578529818
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,282.70240823320734,394.05709268180505,185.4269188536547
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,13.728132985636902,19.13555744387829,9.004399421458007
1,All Population,2,DALYs (Disability-Adjusted Life Years),149,Palestine,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,31.15854948411583,43.527556337690655,20.49626032764693
1,All Population,2,DALYs (Disability-Adjusted Life Years),41,Uzbekistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,621.3516212526868,744.7378162961836,503.4437356045743
1,All Population,2,DALYs (Disability-Adjusted Life Years),41,Uzbekistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,2.980231178918521,3.572036805457973,2.4147015415443827
1,All Population,2,DALYs (Disability-Adjusted Life Years),41,Uzbekistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,5.897582744844556,7.09103351363828,4.7967080806588
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,46.917880592166526,63.9153800136128,26.437172645704553
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,10.442705545645092,14.22590886237956,5.884230189301637
1,All Population,2,DALYs (Disability-Adjusted Life Years),151,Qatar,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,41.26993797658752,56.47735272792264,24.166312523364528
1,All Population,2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,9853.895069554248,13148.623614143522,7474.28798892327
1,All Population,2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,14.37643650281341,19.18331290863627,10.904685499290292
1,All Population,2,DALYs (Disability-Adjusted Life Years),20,Viet Nam,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,24.09840175083469,32.10037900728037,18.33683937156366
1,All Population,2,DALYs (Disability-Adjusted Life Years),40,Turkmenistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,1343.0896515105992,1515.379004638895,1184.495169234311
1,All Population,2,DALYs (Disability-Adjusted Life Years),40,Turkmenistan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,36.16559367962475,40.80485713724668,31.895094238739556
1,All Population,2,DALYs (Disability-Adjusted Life Years),40,Turkmenistan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,67.9442636165474,76.69028117443975,60.00956785583578
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,240.17443014213225,326.2321157441361,174.27373346735232
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,12.02650852708865,16.335766132494562,8.726593169607431
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,33.652001470246404,45.52422996562762,24.18083621733908
1,All Population,2,DALYs (Disability-Adjusted Life Years),144,Jordan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,819.1390823716705,1105.205643279948,575.355287198779
1,All Population,2,DALYs (Disability-Adjusted Life Years),144,Jordan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1990,21.788217882034548,29.39728048442883,15.303831335665135
1,All Population,2,DALYs (Disability-Adjusted Life Years),144,Jordan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1990,53.970966120401286,73.70256858652826,37.89436667442748
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,36.96179758939211,49.28711644490009,27.960075550178413
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,7.028579552994589,9.372336884667876,5.3168305691000315
1,All Population,2,DALYs (Disability-Adjusted Life Years),140,Bahrain,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,19.049822515629696,25.63672856988924,14.479269523006115
1,All Population,2,DALYs (Disability-Adjusted Life Years),37,Kyrgyzstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,797.9951598999995,927.6723839373096,696.6281123726385
1,All Population,2,DALYs (Disability-Adjusted Life Years),37,Kyrgyzstan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,17.54783937096057,20.399429470534525,15.31878742064351
1,All Population,2,DALYs (Disability-Adjusted Life Years),37,Kyrgyzstan,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,26.362912030020883,30.6265896062459,22.916826747297623
1,All Population,2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,4183.776654870841,5543.522795875886,3128.4924479282017
1,All Population,2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,6.455232919643236,8.553212514599547,4.8270137496966425
1,All Population,2,DALYs (Disability-Adjusted Life Years),16,Philippines,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,12.180552840717716,16.994219331834085,9.310810667932076
1,All Population,2,DALYs (Disability-Adjusted Life Years),85,Israel,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,1954.1913700013345,2158.6610335690775,1760.573858014979
1,All Population,2,DALYs (Disability-Adjusted Life Years),85,Israel,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,38.06249782718736,42.04502801575714,34.291338951748706
1,All Population,2,DALYs (Disability-Adjusted Life Years),85,Israel,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,38.50829018374141,42.50759644350555,34.576163547060595
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,10448.730872266588,15904.083841147069,7315.944886824292
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,17.77394770230037,27.05384585948556,12.44488190967439
1,All Population,2,DALYs (Disability-Adjusted Life Years),142,Iran (Islamic Republic of),3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,36.30213238928096,56.05598741892407,25.361593764330696
1,All Population,2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1991,80498.95815146786,102412.5948005666,62042.77259228511
1,All Population,2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,3,Rate,1991,139.01519202548883,176.8582707025973,107.1428518302256
1,All Population,2,DALYs (Disability-Adjusted Life Years),18,Thailand,3,Both,27,Age-standardized,453,Gallbladder and biliary tract cancer,3,Rate,1991,209.0605976135433,265.26925999353176,161.66967173148032
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,3259.9688799525784,4303.446920728302,2359.6710935241485
