year,age_id,age_name,countries_with_dalys,countries_with_vlw,total_dalys,total_dalys_lower,total_dalys_upper,total_economic_burden_vlw,total_economic_burden_vlw_lower,total_economic_burden_vlw_upper,total_economic_burden_vlw_trillion,total_economic_burden_vlw_lower_trillion,total_economic_burden_vlw_upper_trillion
2014,9,20-24 years,48,45,5423.188240373636,3833.8908893560056,7434.32352925939,202877072.1367328,142883729.50389802,287256851.0424258,2.0287707213673277e-4,1.4288372950389802e-4,2.872568510424258e-4
2014,10,25-29 years,48,45,10147.495230082941,7512.218467826404,13862.645629323993,436645045.14104074,318117757.3970531,619405383.7513949,4.3664504514104074e-4,3.1811775739705315e-4,6.194053837513949e-4
2014,11,30-34 years,48,45,21968.18918724545,16274.353174139529,29333.0498305603,989829887.604103,721291946.8479149,1387441717.8695946,9.89829887604103e-4,7.21291946847915e-4,0.0013874417178695946
2014,12,35-39 years,48,45,42697.37466618638,31304.158653286944,57149.842977716,2074739223.4597778,1494716930.3839374,2938749169.259189,0.002074739223459778,0.0014947169303839373,0.002938749169259189
2014,13,40-44 years,48,45,79585.3811165633,59362.01723270389,105974.22073661677,4568735112.031904,3342247970.934789,6500323886.80824,0.004568735112031905,0.003342247970934789,0.00650032388680824
2014,14,45-49 years,48,45,133727.76356549695,101325.96919587752,181118.1549545414,9012980110.020182,6697204514.303239,13017651822.277096,0.009012980110020182,0.006697204514303239,0.013017651822277095
2014,15,50-54 years,48,45,191239.63964413657,146505.0727422601,257686.13750981106,15867406237.328815,11952162182.797209,22918303806.09307,0.015867406237328817,0.011952162182797208,0.022918303806093072
2014,16,55-59 years,48,45,234305.43640481896,178729.5560482283,312613.2020910246,23803222080.043694,17793517235.096474,34002639804.55701,0.023803222080043693,0.017793517235096475,0.03400263980455701
2014,17,60-64 years,48,45,314509.3819533863,240956.85889387675,402417.45922088146,40749912465.285286,30576347818.841736,55910040597.71406,0.04074991246528529,0.030576347818841734,0.05591004059771406
2014,18,65-69 years,48,45,304515.43474313914,236700.5254596911,393870.2027270471,53143188617.05259,40192771251.18547,73425148135.24284,0.05314318861705259,0.04019277125118547,0.07342514813524284
2014,19,70-74 years,48,45,260439.30144001872,207314.31812629575,329375.8614718295,64313388259.10237,49119802963.967476,87215911825.7761,0.06431338825910238,0.04911980296396748,0.0872159118257761
2014,20,75-79 years,48,45,214245.77289117084,170528.24144829554,270712.40769554995,77705701193.04832,58401070618.940285,106421659053.9401,0.07770570119304833,0.05840107061894029,0.10642165905394009
2014,30,80-84 years,48,45,153602.2237988399,117606.35359440089,188096.92324039218,85662864052.05684,60643308925.36806,115860803504.2271,0.08566286405205684,0.06064330892536806,0.1158608035042271
2014,31,85-89 years,48,45,83259.54178700583,61629.21855752474,105813.73942346305,77004185208.23537,50866975794.267296,110088762994.99167,0.07700418520823536,0.05086697579426729,0.11008876299499167
2014,32,90-94 years,48,45,34932.28145424884,24825.278066863804,44073.06595789128,54064406114.96952,34204237756.1607,79650991992.41418,0.05406440611496952,0.0342042377561607,0.07965099199241418
2014,235,95+ years,48,45,12384.5793754978,8341.567944605837,15902.865167436767,30887552751.35105,18178256867.42247,46814955502.65537,0.030887552751351053,0.01817825686742247,0.046814955502655374
2015,1,<5 years,48,48,0,0,0,0,0,0,0,0,0
2015,6,5-9 years,48,48,0,0,0,0,0,0,0,0,0
2015,7,10-14 years,48,48,0,0,0,0,0,0,0,0,0
2015,8,15-19 years,48,48,0,0,0,0,0,0,0,0,0
2015,9,20-24 years,48,45,5291.54502284087,3765.41722760752,7350.237784771448,192733774.2100048,136196656.86967984,275336301.2734477,1.927337742100048e-4,1.3619665686967985e-4,2.753363012734477e-4
2015,10,25-29 years,48,45,10091.67929244518,7457.670916309967,13802.916409778736,424850033.4940314,310745058.95279163,602712751.9607185,4.2485003349403144e-4,3.107450589527916e-4,6.027127519607186e-4
2015,11,30-34 years,48,45,22260.47585909012,16405.108786007026,29605.923254431218,987890811.4214772,716306055.0827918,1378876328.5168583,9.878908114214773e-4,7.163060550827918e-4,0.0013788763285168583
2015,12,35-39 years,48,45,42824.86369025519,30972.221948865717,57355.59368449338,2070185967.7612834,1476058740.0603352,2927784992.88728,0.0020701859677612834,0.0014760587400603352,0.00292778499288728
2015,13,40-44 years,48,45,79822.83275643071,58966.22660803375,105982.45848754527,4580643396.463472,3311536185.743659,6497537276.044893,0.004580643396463472,0.003311536185743659,0.006497537276044893
2015,14,45-49 years,48,45,136626.80628564063,103497.5726393427,182324.27173854527,9301063003.26343,6927405226.874598,13232715184.397121,0.00930106300326343,0.006927405226874597,0.013232715184397122
2015,15,50-54 years,48,45,200557.43590402367,154479.14941247672,272461.2637906652,16849517778.315817,12695888143.91859,24519953569.496513,0.016849517778315816,0.012695888143918591,0.024519953569496513
2015,16,55-59 years,48,45,239401.19061334388,181669.15943497574,317586.2881636571,24500302069.2125,18242551218.06399,34976235160.51637,0.024500302069212502,0.018242551218063993,0.03497623516051637
2015,17,60-64 years,48,45,329359.22684774606,253660.0626201387,425871.6534013735,43064594746.64948,32350361680.29685,59725751168.90518,0.04306459474664948,0.03235036168029685,0.05972575116890518
2015,18,65-69 years,48,45,316236.0648776107,248892.75932027682,408916.1116866866,57138359894.39528,43739527906.90548,79101620462.39378,0.05713835989439528,0.04373952790690548,0.07910162046239379
2015,19,70-74 years,48,45,264110.77260153467,211540.5882253099,336935.00254354667,66408807158.624054,50990532152.089264,90704738017.04233,0.06640880715862406,0.05099053215208926,0.09070473801704233
2015,20,75-79 years,48,45,216892.23749977569,172284.99101070507,276356.3746097092,80533498690.43413,60537582020.952415,111229605203.12778,0.08053349869043412,0.06053758202095241,0.11122960520312777
2015,30,80-84 years,48,45,159614.7421697714,121891.90232356703,196123.12650370746,91116083453.56305,64408904795.11434,123545639248.53107,0.09111608345356305,0.06440890479511434,0.12354563924853107
