location_id,location_name,country_code,asia_subregion,year,age_id,age_name,dalys,dalys_lower,dalys_upper,economic_burden_vlw,economic_burden_vlw_lower,economic_burden_vlw_upper,economic_burden_vlw_trillion,economic_burden_vlw_lower_trillion,economic_burden_vlw_upper_trillion
40,Turkmenistan,TKM,Central Asia,2019,9,20-24 years,2.336120347748138,1.947176249966171,2.74812752353027,129493.85526244446,103161.8595401176,160923.53102450128,1.2949385526244446e-7,1.031618595401176e-7,1.6092353102450129e-7
40,Turkmenistan,TKM,Central Asia,2019,10,25-29 years,5.291229422409129,4.379415929909539,6.294233146025689,325123.82712596154,256398.05678747717,409779.54480148753,3.2512382712596153e-7,2.5639805678747714e-7,4.097795448014875e-7
40,Turkmenistan,TKM,Central Asia,2019,11,30-34 years,9.75214088581264,8.230950965408596,11.32973615178495,670245.7897399118,537281.1250282836,828595.280492699,6.702457897399118e-7,5.372811250282836e-7,8.28595280492699e-7
40,Turkmenistan,TKM,Central Asia,2019,12,35-39 years,18.476696957787485,15.57734770203777,21.90118387485974,1435918.1984842657,1146082.2826001032,1820252.739712038,1.4359181984842657e-6,1.1460822826001032e-6,1.820252739712038e-6
40,Turkmenistan,TKM,Central Asia,2019,13,40-44 years,33.94743455955708,28.885213146533207,40.85848850034888,3020120.702296723,2426265.2089442424,3914055.4906025333,3.0201207022967233e-6,2.4262652089442426e-6,3.914055490602533e-6
40,Turkmenistan,TKM,Central Asia,2019,14,45-49 years,59.6697866484459,50.486586877482715,71.0429920517458,6162010.584680881,4899694.19620689,7961863.160697343,6.162010584680881e-6,4.89969419620689e-6,7.961863160697342e-6
40,Turkmenistan,TKM,Central Asia,2019,15,50-54 years,99.6827745965027,81.27612448215976,119.16714106534424,12150265.387862533,9264874.716438647,15858625.189067427,1.2150265387862533e-5,9.264874716438648e-6,1.5858625189067426e-5
40,Turkmenistan,TKM,Central Asia,2019,16,55-59 years,154.40741751102885,129.24280919531904,182.60241448128528,22610599.646685738,17561349.262718394,29356761.338557463,2.261059964668574e-5,1.7561349262718393e-5,2.9356761338557463e-5
40,Turkmenistan,TKM,Central Asia,2019,17,60-64 years,166.71009169654175,139.09989255402988,197.08889348911305,29767876.998908278,22813134.312346686,38911959.52893218,2.9767876998908277e-5,2.2813134312346686e-5,3.8911959528932174e-5
40,Turkmenistan,TKM,Central Asia,2019,18,65-69 years,128.5916922935002,105.66051166367048,151.8496381173622,28251908.071417816,21116349.195339482,37176219.27345237,2.8251908071417815e-5,2.1116349195339483e-5,3.717621927345237e-5
40,Turkmenistan,TKM,Central Asia,2019,19,70-74 years,54.53993552472755,46.1138792945475,64.3701197574764,14883619.767943712,11292779.111228818,19832802.858994797,1.4883619767943712e-5,1.1292779111228818e-5,1.9832802858994797e-5
40,Turkmenistan,TKM,Central Asia,2019,20,75-79 years,45.89245652004857,37.6070529335005,54.367847365121506,15849777.640965298,11634278.645645132,21258510.260368813,1.5849777640965297e-5,1.1634278645645133e-5,2.1258510260368814e-5
40,Turkmenistan,TKM,Central Asia,2019,30,80-84 years,21.29803949742576,17.481872627185158,26.115585045351416,9364722.434423242,6858781.399173711,13221061.809765525,9.364722434423241e-6,6.8587813991737115e-6,1.3221061809765525e-5
40,Turkmenistan,TKM,Central Asia,2019,31,85-89 years,4.845898849385338,3.855076200190256,6.062453288626986,2602395.2942316495,1800113.444406452,3808154.212843779,2.6023952942316495e-6,1.800113444406452e-6,3.808154212843779e-6
40,Turkmenistan,TKM,Central Asia,2019,32,90-94 years,1.852887179188076,1.4340102770060366,2.3422538011535057,1268475.3333051668,844639.1026520338,1925177.325341159,1.2684753333051667e-6,8.446391026520338e-7,1.925177325341159e-6
40,Turkmenistan,TKM,Central Asia,2019,235,95+ years,0.437495368235956,0.2997644810564166,0.5470834802780693,333070.1314010839,190664.0880462412,519363.64948030247,3.330701314010839e-7,1.906640880462412e-7,5.193636494803024e-7
40,Turkmenistan,TKM,Central Asia,2020,1,<5 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2020,6,5-9 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2020,7,10-14 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2020,8,15-19 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2020,9,20-24 years,2.1059140677681327,1.77342931944396,2.5167604234469576,116930.04999068246,94275.56556758352,147742.91984756064,1.1693004999068245e-7,9.427556556758352e-8,1.4774291984756065e-7
40,Turkmenistan,TKM,Central Asia,2020,10,25-29 years,4.968032089523908,4.068048740842244,6.068396115818609,306529.40201597544,239623.33780367527,397164.48009571986,3.0652940201597545e-7,2.396233378036753e-7,3.9716448009571985e-7
40,Turkmenistan,TKM,Central Asia,2020,11,30-34 years,9.593565421592556,7.980575924200447,11.1300404783474,663965.7995318588,525480.0568686012,820499.548153108,6.639657995318588e-7,5.254800568686012e-7,8.20499548153108e-7
40,Turkmenistan,TKM,Central Asia,2020,12,35-39 years,18.58838882141226,15.56384361265361,22.352412902867847,1459663.0222767857,1158332.734735876,1878647.7893241812,1.4596630222767857e-6,1.1583327347358761e-6,1.8786477893241812e-6
40,Turkmenistan,TKM,Central Asia,2020,13,40-44 years,33.84476419204898,28.37172681502867,41.555680631894326,3054612.237821034,2415274.313874282,4040173.606306661,3.0546122378210343e-6,2.415274313874282e-6,4.040173606306661e-6
40,Turkmenistan,TKM,Central Asia,2020,14,45-49 years,59.87579638159723,49.41782680755164,70.95879952043722,6302190.282340786,4881393.659551732,8115802.778580243,6.3021902823407864e-6,4.881393659551732e-6,8.115802778580242e-6
40,Turkmenistan,TKM,Central Asia,2020,15,50-54 years,99.33069584212951,80.38647311588882,119.5276442996905,12409268.54851702,9369083.058248693,16354505.030653758,1.2409268548517021e-5,9.369083058248694e-6,1.6354505030653758e-5
40,Turkmenistan,TKM,Central Asia,2020,16,55-59 years,158.0663487217237,129.53337070063094,186.25974435387624,23875453.75705674,18133131.18182692,31033728.03925926,2.387545375705674e-5,1.813313118182692e-5,3.1033728039259256e-5
40,Turkmenistan,TKM,Central Asia,2020,17,60-64 years,180.0497321490631,145.30062072244527,216.62582114515595,33358706.330934383,24835756.252085023,44795545.35300046,3.335870633093438e-5,2.483575625208502e-5,4.4795545353000464e-5
40,Turkmenistan,TKM,Central Asia,2020,18,65-69 years,139.9826262500911,113.40042557476217,169.6289553199924,31967743.867310982,23581057.977845162,43545895.05206977,3.1967743867310984e-5,2.358105797784516e-5,4.354589505206977e-5
40,Turkmenistan,TKM,Central Asia,2020,19,70-74 years,59.588428985952056,48.19509002253439,71.54302730713945,16949538.465422455,12242995.462464215,23211839.25791035,1.6949538465422454e-5,1.2242995462464215e-5,2.321183925791035e-5
40,Turkmenistan,TKM,Central Asia,2020,20,75-79 years,44.34233826155991,36.2922030234806,52.68409296189037,15855471.260523515,11513245.820079377,21505327.786216334,1.5855471260523514e-5,1.1513245820079376e-5,2.1505327786216333e-5
40,Turkmenistan,TKM,Central Asia,2020,30,80-84 years,21.39666524131086,17.468805826451536,25.639409710354723,9752081.748135693,7044516.992373385,13603588.78517946,9.752081748135693e-6,7.044516992373385e-6,1.360358878517946e-5
40,Turkmenistan,TKM,Central Asia,2020,31,85-89 years,4.955449793079846,3.875755252613301,6.189149343602249,2752356.764659115,1883538.5907585449,4071348.8881308297,2.7523567646591153e-6,1.883538590758545e-6,4.07134888813083e-6
40,Turkmenistan,TKM,Central Asia,2020,32,90-94 years,1.906435420892438,1.4857303918966087,2.4141154952262243,1351399.5409711683,898026.8900626438,2086085.428948909,1.3513995409711683e-6,8.980268900626437e-7,2.086085428948909e-6
40,Turkmenistan,TKM,Central Asia,2020,235,95+ years,0.4596788420122688,0.3344322851378245,0.6009568182990417,363255.6037668249,216851.13073530112,597669.1161126858,3.632556037668249e-7,2.1685113073530113e-7,5.976691161126858e-7
40,Turkmenistan,TKM,Central Asia,2021,1,<5 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2021,6,5-9 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2021,7,10-14 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2021,8,15-19 years,0,0,0,0,0,0,0,0,0
40,Turkmenistan,TKM,Central Asia,2021,9,20-24 years,2.113205926748045,1.71328817624204,2.5241239350100964,129251.25558849926,100101.50548988802,163294.9878615441,1.2925125558849927e-7,1.0010150548988801e-7,1.632949878615441e-7
40,Turkmenistan,TKM,Central Asia,2021,10,25-29 years,5.0801796925208285,4.05433302505348,6.210503198837724,345651.3480438687,262830.7179113811,448616.16371156217,3.4565134804386873e-7,2.628307179113811e-7,4.4861616371156216e-7
40,Turkmenistan,TKM,Central Asia,2021,11,30-34 years,10.059407811378613,7.981625448856817,12.240961430470426,768679.1352923219,578871.8742138091,997222.2448532283,7.686791352923219e-7,5.788718742138091e-7,9.972222448532283e-7
40,Turkmenistan,TKM,Central Asia,2021,12,35-39 years,19.773552029010133,16.025324626521478,24.05259699538652,1716818.4761873905,1315175.3741267447,2241024.5555831734,1.7168184761873905e-6,1.3151753741267447e-6,2.2410245555831733e-6
40,Turkmenistan,TKM,Central Asia,2021,13,40-44 years,35.174586927100854,28.715036070889585,42.0611091960177,3516335.2140349685,2704486.222697706,4541205.22803796,3.5163352140349686e-6,2.704486222697706e-6,4.5412052280379595e-6
40,Turkmenistan,TKM,Central Asia,2021,14,45-49 years,61.84678279643291,49.83731701242992,75.02628588935187,7226057.01662817,5445885.322947391,9544560.037106859,7.226057016628171e-6,5.445885322947392e-6,9.544560037106859e-6
40,Turkmenistan,TKM,Central Asia,2021,15,50-54 years,102.84232833070804,81.55268479245994,126.61041831154267,14303097.809792196,10493111.125515113,19340991.852303553,1.4303097809792197e-5,1.0493111125515112e-5,1.9340991852303554e-5
40,Turkmenistan,TKM,Central Asia,2021,16,55-59 years,162.9265151476401,132.38145944326106,194.5713436032695,27472128.502963733,20493724.300059214,36443866.71762247,2.7472128502963733e-5,2.0493724300059215e-5,3.6443866717622466e-5
40,Turkmenistan,TKM,Central Asia,2021,17,60-64 years,195.2190992910392,156.7499210155329,242.16007516372156,40522542.13554505,29668858.825189717,56600956.490057655,4.052254213554505e-5,2.9668858825189717e-5,5.6600956490057656e-5
40,Turkmenistan,TKM,Central Asia,2021,18,65-69 years,150.43376835173703,121.84958611688825,185.1464097496588,38581158.866154194,28303687.061008412,53684104.08375327,3.8581158866154195e-5,2.830368706100841e-5,5.368410408375327e-5
40,Turkmenistan,TKM,Central Asia,2021,19,70-74 years,68.9809836976015,53.436340818545446,84.3550293212724,22049569.765575577,15238205.406073997,31068626.53267612,2.2049569765575576e-5,1.5238205406073996e-5,3.106862653267612e-5
40,Turkmenistan,TKM,Central Asia,2021,20,75-79 years,43.16442148057493,34.95854634195162,52.08543449157416,17342252.117493898,12428091.85778442,24309531.809773013,1.73422521174939e-5,1.242809185778442e-5,2.4309531809773015e-5
40,Turkmenistan,TKM,Central Asia,2021,30,80-84 years,21.424940856222225,17.185219893065234,26.904185760956658,10942643.85146436,7739257.5416104635,15991777.971098613,1.094264385146436e-5,7.739257541610464e-6,1.5991777971098614e-5
40,Turkmenistan,TKM,Central Asia,2021,31,85-89 years,5.174581165546441,4.046067503490155,6.5121598052438525,3232660.230930599,2169762.5483184294,4827953.847221794,3.232660230930599e-6,2.1697625483184294e-6,4.827953847221793e-6
40,Turkmenistan,TKM,Central Asia,2021,32,90-94 years,1.9597741995866111,1.5323264389526563,2.4383283271694443,1558315.4160065223,1018840.8163766704,2367663.49916118,1.5583154160065224e-6,1.0188408163766704e-6,2.3676634991611803e-6
