Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Low & middle income,LMY,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1.78439E+13,1.81879E+13,1.8808E+13,1.95339E+13,2.02896E+13,2.11613E+13,2.2406E+13,2.35623E+13,2.42475E+13,2.51502E+13,2.64958E+13,2.74577E+13,2.87182E+13,3.03819E+13,3.2682E+13,3.49698E+13,3.77004E+13,4.08247E+13,4.30454E+13,4.45977E+13,4.80569E+13,5.09517E+13,5.35685E+13,5.64219E+13,5.9242E+13,6.2004E+13,6.50234E+13,6.84202E+13,7.18101E+13,7.46896E+13,7.34472E+13,7.86874E+13,8.19667E+13,8.60517E+13,8.98565E+13
Low income,LIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,850.4899222,880.0977716,877.0603688,873.1972609,873.1608301,909.1863274,943.6116369,1005.382308,1034.243767,1055.583638,1087.560249,1131.999368,1179.113719,1236.832586,1304.225872,1389.97476,1470.210974,1551.977384,1616.333327,1628.142159,1706.526039,1699.402899,1592.899598,1655.196,1759.637905,1813.490682,1878.787893,1905.939165,1970.572455,2039.111534,1993.120169,2091.295141,2256.120424,2265.38657,2327.415115
Low income,LIC,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,4.98315E+11,5.09056E+11,5.13698E+11,5.14202E+11,5.19196E+11,5.45052E+11,5.76911E+11,6.15452E+11,6.45045E+11,6.53614E+11,6.6695E+11,6.89415E+11,7.29231E+11,7.76711E+11,8.23992E+11,8.77574E+11,9.29275E+11,9.87261E+11,1.03938E+12,1.08E+12,1.1488E+12,1.18167E+12,1.11679E+12,1.10412E+12,1.13559E+12,1.16907E+12,1.19757E+12,1.23064E+12,1.26837E+12,1.31159E+12,1.30202E+12,1.31096E+12,1.35547E+12,1.34995E+12,1.39168E+12
Lower middle income,LMC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1541.373146,1587.31504,1650.029693,1696.589342,1768.916878,1864.116883,1977.797662,2048.871048,2126.04374,2237.994378,2339.265733,2448.833449,2544.758805,2706.263735,2924.212714,3166.752007,3437.191957,3710.595766,3880.528621,4074.029108,4335.636489,4560.57433,4910.951085,5127.176961,5320.288781,5519.289621,5781.706632,6113.396771,6564.384869,6978.076999,6939.118315,7652.719664,8616.135783,9377.309525,9989.812638
Lower middle income,LMC,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,4.96461E+12,5.06189E+12,5.26249E+12,5.40367E+12,5.63804E+12,5.95061E+12,6.33303E+12,6.59197E+12,6.90931E+12,7.31677E+12,7.63353E+12,7.97091E+12,8.31064E+12,8.81996E+12,9.44599E+12,1.00943E+13,1.08172E+13,1.15744E+13,1.20908E+13,1.28276E+13,1.37176E+13,1.43749E+13,1.51206E+13,1.59805E+13,1.69762E+13,1.8037E+13,1.91487E+13,2.02465E+13,2.14025E+13,2.23051E+13,2.1516E+13,2.30059E+13,2.44769E+13,2.60405E+13,2.7429E+13
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5735.737179,6089.48425,6408.446759,6515.625779,6638.637444,6798.57854,7097.210209,7320.649397,7539.617555,7687.213006,8165.196552,8329.58706,8467.781996,8795.201072,9537.64028,10080.28441,10714.24898,11302.33224,11708.12478,11643.02794,12094.39166,12536.74351,12900.57033,12853.34673,12737.74275,11749.13525,11651.82446,12173.63572,12879.81446,12876.39196,12163.88035,13446.2073,15045.95525,15606.56708,16037.91842
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,3.48585E+12,3.53888E+12,3.75379E+12,3.83945E+12,3.94105E+12,4.06228E+12,4.27478E+12,4.44129E+12,4.64591E+12,4.78624E+12,5.07583E+12,5.18653E+12,5.3074E+12,5.53479E+12,5.97638E+12,6.2876E+12,6.65037E+12,7.00187E+12,7.31257E+12,7.43885E+12,7.79118E+12,8.11474E+12,8.36519E+12,8.53697E+12,8.80733E+12,9.08444E+12,9.51699E+12,9.74089E+12,1.00114E+13,1.01869E+13,9.92108E+12,1.03832E+13,1.10364E+13,1.12818E+13,1.15255E+13
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3686.760816,3968.902122,4137.36324,4176.480305,4232.111832,4337.691578,4567.525293,4690.069828,4886.716165,5058.782717,5366.244813,5520.999957,5673.460307,5804.796187,6284.98961,6638.871926,7051.519057,7502.441396,7722.146516,7798.424636,8094.757062,8121.187049,8311.248562,8293.210388,8187.553846,7892.093835,7996.55782,8323.093802,8681.279602,8688.166637,8759.522362,9293.238001,10230.4486,10708.73324,11030.44382
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.29393E+12,2.29908E+12,2.41986E+12,2.46254E+12,2.51937E+12,2.60161E+12,2.75885E+12,2.85578E+12,3.01859E+12,3.14925E+12,3.33138E+12,3.4268E+12,3.53839E+12,3.62931E+12,3.90975E+12,4.10006E+12,4.32754E+12,4.58301E+12,4.75371E+12,4.90488E+12,5.13631E+12,5.20721E+12,5.31625E+12,5.37463E+12,5.52493E+12,5.65295E+12,5.98213E+12,6.1745E+12,6.34935E+12,6.46553E+12,6.34529E+12,6.6064E+12,6.90477E+12,7.09891E+12,7.26305E+12
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3696.128234,3979.355382,4148.663499,4188.320234,4244.59058,4350.453778,4582.203884,4704.178503,4900.076313,5072.004184,5383.236596,5540.767853,5696.459282,5826.862076,6306.749543,6660.698317,7076.240833,7529.383147,7749.212084,7824.557164,8121.861399,8146.094939,8332.746041,8314.195433,8207.260505,7907.164525,8010.410993,8338.969877,8699.026167,8704.035069,8779.901323,9319.674342,10260.26343,10743.75087,11079.94363
